Subj	Group	Posit	Item	PrimeCond	PrimeCorrect	TargetAttach	
25	B	87	16	1	1	1	
25	B	91	19	1	1	1	
25	B	95	7	1	1	1	
25	B	99	18	2	1	1	
26	B	7	3	3	1	1	
26	B	11	4	2	1	3	
26	B	15	13	2	1	2	
26	B	19	23	1	1	1	
26	B	23	2	1	1	2	
26	B	27	14	1	1	1	
26	B	31	1	2	1	1	
26	B	35	12	3	1	1	
26	B	39	8	1	1	2	
26	B	43	20	1	1	3	
26	B	47	24	3	1	1	
26	B	51	5	1	1	3	
26	B	55	22	2	1	2	
26	B	59	9	3	1	2	
26	B	63	10	2	1	1	
26	B	67	11	1	1	2	
26	B	71	6	3	1	2	
26	B	75	17	1	1	1	
26	B	79	21	3	1	3	
26	B	83	15	3	1	2	
26	B	87	16	2	1	2	
26	B	91	19	2	1	1	
26	B	95	7	2	1	2	
26	B	99	18	3	1	1	
27	B	7	3	1	0	3	
27	B	11	4	3	1	2	
27	B	15	13	3	1	3	
27	B	19	23	2	1	1	
27	B	23	2	2	1	3	
27	B	27	14	2	0	1	
27	B	31	1	3	1	3	
27	B	35	12	1	0	2	
27	B	39	8	2	0	1	
27	B	43	20	2	0	1	
27	B	47	24	1	0	1	
27	B	51	5	2	0	1	
27	B	55	22	3	0	2	
27	B	59	9	1	0	3	
27	B	63	10	3	1	2	
27	B	67	11	2	0	3	
27	B	71	6	1	0	2	
27	B	75	17	2	0	3	
27	B	79	21	1	0	3	
27	B	83	15	1	0	2	
27	B	87	16	3	1	1	
27	B	91	19	3	1	1	
27	B	95	7	3	1	2	
27	B	99	18	1	0	2	
28	B	7	3	2	0	2	
28	B	11	4	1	0	2	
28	B	15	13	1	0	3	
28	B	19	23	3	1	2	
28	B	23	2	3	1	2	
28	B	27	14	3	1	1	
28	B	31	1	1	0	1	
28	B	35	12	2	0	2	
28	B	39	8	3	1	1	
28	B	43	20	3	1	1	
28	B	47	24	2	0	1	
28	B	51	5	3	1	1	
28	B	55	22	1	0	2	
28	B	59	9	2	0	2	
28	B	63	10	1	0	1	
28	B	67	11	3	1	3	
28	B	71	6	2	0	1	
28	B	75	17	3	1	2	
28	B	79	21	2	0	2	
28	B	83	15	2	0	2	
28	B	87	16	1	0	1	
28	B	91	19	1	0	3	
28	B	95	7	1	0	2	
28	B	99	18	2	0	2	
29	B	7	3	3	1	3	
29	B	11	4	2	1	2	
29	B	15	13	2	1	2	
29	B	19	23	1	0	1	
29	B	23	2	1	0	1	
29	B	27	14	1	1	1	
29	B	31	1	2	1	2	
29	B	35	12	3	1	2	
29	B	39	8	1	1	1	
29	B	43	20	1	1	1	
29	B	47	24	3	1	3	
29	B	51	5	1	1	1	
29	B	55	22	2	1	2	
29	B	59	9	3	1	2	
29	B	63	10	2	1	1	
29	B	67	11	1	1	3	
29	B	71	6	3	1	2	
29	B	75	17	1	1	1	
29	B	79	21	3	1	3	
29	B	83	15	3	1	2	
29	B	87	16	2	0	2	
29	B	91	19	2	1	2	
29	B	95	7	2	1	2	
29	B	99	18	3	1	1	
30	B	7	3	1	0	1	
30	B	11	4	3	1	2	
30	B	15	13	3	1	2	
30	B	19	23	2	0	1	
30	B	23	2	2	1	2	
30	B	27	14	2	0	1	
30	B	31	1	3	1	1	
30	B	35	12	1	1	3	
30	B	39	8	2	1	1	
30	B	43	20	2	1	2	
30	B	47	24	1	1	2	
30	B	51	5	2	0	1	
30	B	55	22	3	1	2	
30	B	59	9	1	1	1	
30	B	63	10	3	1	2	
30	B	67	11	2	1	2	
30	B	71	6	1	1	3	
30	B	75	17	2	1	2	
30	B	79	21	1	1	3	
30	B	83	15	1	1	2	
30	B	87	16	3	1	3	
30	B	91	19	3	1	1	
30	B	95	7	3	1	2	
30	B	99	18	1	1	2	
31	B	7	11	3	1	1	
31	B	11	6	2	1	2	
31	B	15	18	2	0	1	
31	B	19	23	3	1	1	
31	B	23	17	3	1	1	
31	B	27	19	1	1	1	
31	B	31	20	3	1	1	
31	B	35	2	3	1	2	
31	B	39	24	2	1	2	
31	B	43	22	1	1	2	
31	B	47	3	2	1	2	
31	B	51	21	2	1	3	
31	B	55	13	1	1	2	
31	B	59	5	3	1	1	
31	B	63	4	1	1	1	
31	B	67	16	1	1	1	
31	B	71	10	1	1	2	
31	B	75	15	2	1	1	
31	B	79	1	1	1	2	
31	B	83	9	2	1	2	
31	B	87	7	1	1	2	
31	B	91	8	3	1	1	
31	B	95	14	3	1	1	
31	B	99	12	2	1	3	
32	B	7	11	1	1	2	
32	B	11	6	3	1	2	
32	B	15	18	3	1	1	
32	B	19	23	1	0	2	
32	B	23	17	1	0	2	
32	B	27	19	2	0	1	
32	B	31	20	1	0	1	
32	B	35	2	1	0	1	
32	B	39	24	3	1	3	
32	B	43	22	2	1	2	
32	B	47	3	3	1	3	
32	B	51	21	3	1	3	
32	B	55	13	2	1	2	
32	B	59	5	1	1	1	
32	B	63	4	2	1	2	
32	B	67	16	2	1	1	
32	B	71	10	2	1	3	
32	B	75	15	3	1	1	
32	B	79	1	2	1	2	
32	B	83	9	3	1	2	
32	B	87	7	2	0	1	
32	B	91	8	1	1	1	
32	B	95	14	1	1	1	
32	B	99	12	3	1	3	
33	B	7	11	2	0	2	
33	B	11	6	1	1	3	
33	B	15	18	1	1	1	
33	B	19	23	2	1	1	
33	B	23	17	2	1	2	
33	B	27	19	3	1	1	
33	B	31	20	2	1	1	
33	B	35	2	2	0	2	
33	B	39	24	1	1	2	
33	B	43	22	3	1	3	
33	B	47	3	1	1	2	
33	B	51	21	1	1	1	
33	B	55	13	3	1	2	
33	B	59	5	2	1	1	
33	B	63	4	3	1	2	
33	B	67	16	3	1	3	
33	B	71	10	3	1	1	
33	B	75	15	1	1	3	
33	B	79	1	3	1	2	
33	B	83	9	1	1	2	
33	B	87	7	3	1	2	
33	B	91	8	2	1	1	
33	B	95	14	2	1	3	
33	B	99	12	1	1	3	
34	B	7	16	1	1	1	
34	B	11	3	2	1	2	
34	B	15	17	3	1	2	
34	B	19	21	2	1	1	
34	B	23	1	1	1	1	
34	B	27	8	3	1	2	
34	B	31	18	2	1	1	
34	B	35	6	2	1	1	
34	B	39	12	2	1	2	
34	B	43	15	2	1	1	
34	B	47	23	3	1	1	
34	B	51	10	1	1	2	
34	B	55	24	2	1	2	
34	B	59	13	1	1	3	
34	B	63	14	3	1	1	
34	B	67	5	3	1	1	
34	B	71	11	3	1	2	
34	B	75	19	1	1	2	
34	B	79	9	2	1	2	
34	B	83	22	1	1	2	
34	B	87	20	3	1	2	
34	B	91	2	3	1	2	
34	B	95	4	1	1	2	
34	B	99	7	1	0	2	
35	B	7	16	2	1	2	
35	B	11	3	3	1	2	
35	B	15	17	1	1	3	
35	B	19	21	3	1	1	
35	B	23	1	2	1	2	
35	B	27	8	1	1	1	
35	B	31	18	3	1	1	
35	B	35	6	3	1	1	
35	B	39	12	3	1	2	
35	B	43	15	3	1	3	
35	B	47	23	1	1	1	
35	B	51	10	2	0	1	
35	B	55	24	3	1	1	
35	B	59	13	2	1	2	
35	B	63	14	1	1	1	
35	B	67	5	1	1	1	
35	B	71	11	1	1	2	
35	B	75	19	2	0	2	
35	B	79	9	3	1	2	
35	B	83	22	2	1	2	
35	B	87	20	1	1	2	
35	B	91	2	1	1	2	
35	B	95	4	2	1	2	
35	B	99	7	2	1	2	
36	B	7	16	3	1	3	
36	B	11	3	1	1	2	
36	B	15	17	2	1	2	
36	B	19	21	1	1	3	
36	B	23	1	3	1	3	
36	B	27	8	2	1	1	
36	B	31	18	1	1	1	
36	B	35	6	1	1	1	
36	B	39	12	1	1	1	
36	B	43	15	1	1	1	
36	B	47	23	2	1	1	
36	B	51	10	3	1	1	
36	B	55	24	1	1	1	
36	B	59	13	3	1	2	
36	B	63	14	2	1	2	
36	B	67	5	2	1	1	
36	B	71	11	2	1	2	
36	B	75	19	3	1	2	
36	B	79	9	1	1	3	
36	B	83	22	3	1	2	
36	B	87	20	2	1	1	
36	B	91	2	2	1	3	
36	B	95	4	3	1	2	
36	B	99	7	3	1	2	
37	P	7	12	2	1	3	
37	P	11	14	3	1	3	
37	P	15	23	3	1	2	
37	P	19	24	2	1	1	
37	P	23	20	3	1	2	
37	P	27	6	2	1	3	
37	P	31	3	2	1	1	
37	P	35	16	1	1	1	
37	P	39	18	2	1	1	
37	P	43	7	1	1	2	
37	P	47	15	2	1	1	
37	P	51	11	3	1	2	
37	P	55	22	1	1	1	
37	P	59	4	1	1	2	
