Subj	posit	list	item	prime	target	tres_C	tres_F	presp	tresp	correct	numerr
L2M14	15	2	2	1	1	26	8	5	8	0	0
L2M14	18	2	11	2	2	4	14	4	4	1	0
L2M14	21	2	22	1	1	56	8	5	8	0	0
L2M14	24	2	12	2	1	27	34	3	34	0	0
L2M14	27	2	19	2	2	0	12	5	0	1	0
L2M14	30	2	4	2	1	50	68	4	68	0	0
L2M14	33	2	24	2	1	19	49	4	56	0	1
L2M14	36	2	23	2	2	4	16	4	4	1	0
L2M14	39	2	3	2	2	1	6	4	1	1	0
L2M14	42	2	13	1	2	85	22	5	85	1	0
L2M14	45	2	18	1	1	92	8	4	92	1	0
L2M14	48	2	6	1	1	86	14	5	14	0	0
L2M14	51	2	20	2	1	74	200	4	200	0	0
L2M14	54	2	9	1	2	50	26	5	50	1	0
L2M14	57	2	8	2	1	25	65	5	65	0	0
L2M14	60	2	21	1	2	25	9	5	25	1	0
L2M14	63	2	14	1	1	49	13	4	13	0	0
L2M14	66	2	16	2	1	25	32	3	32	0	0
L2M14	69	2	10	1	1	98	8	4	98	1	0
L2M14	72	2	7	2	2	1	4	3	1	1	0
L2M14	75	2	1	1	2	73	45	5	73	1	0
L2M15	6	2	9	1	2	50	26	5	50	1	0
L2M15	9	2	22	1	1	56	8	5	8	0	0
L2M15	12	2	8	2	1	25	65	1	65	0	0
L2M15	15	2	17	1	2	97	25	4	25	0	0
L2M15	18	2	14	1	1	49	13	4	13	0	0
L2M15	21	2	19	2	2	0	12	5	0	1	0
L2M15	24	2	1	1	2	73	45	5	73	1	0
L2M15	27	2	16	2	1	25	32	1	32	0	0
L2M15	30	2	12	2	1	27	34	2	140	0	1
L2M15	33	2	13	1	2	85	22	5	85	1	0
L2M15	36	2	2	1	1	26	8	5	8	0	0
L2M15	39	2	5	1	2	152	62	4	152	1	0
L2M15	42	2	10	1	1	98	8	5	98	1	0
L2M15	45	2	23	2	2	4	16	5	4	1	0
L2M15	48	2	6	1	1	86	14	5	86	1	0
L2M15	51	2	24	2	1	19	49	5	49	0	0
L2M15	54	2	3	2	2	1	6	3	1	1	0
L2M15	57	2	11	2	2	4	14	4	4	1	0
L2M15	60	2	7	2	2	1	4	2	4	0	0
L2M15	63	2	18	1	1	92	8	5	92	1	0
L2M15	66	2	15	2	2	15	40	5	40	0	0
L2M15	69	2	4	2	1	50	68	4	50	1	0
L2M15	72	2	21	1	2	25	9	4	9	0	0
L2M15	75	2	20	2	1	74	200	1	74	1	0
L2M16	6	2	23	2	2	4	16	5	4	1	0
L2M16	9	2	16	2	1	25	32	4	32	0	0
L2M16	12	2	13	1	2	85	22	5	22	0	0
L2M16	15	2	7	2	2	1	4	5	1	1	0
L2M16	18	2	20	2	1	74	200	5	74	1	0
L2M16	21	2	24	2	1	19	49	5	19	1	0
L2M16	24	2	18	1	1	92	8	5	92	1	0
L2M16	27	2	21	1	2	25	9	5	25	1	0
L2M16	30	2	22	1	1	56	8	5	56	1	0
L2M16	33	2	14	1	1	49	13	5	49	1	0
L2M16	36	2	5	1	2	152	62	5	62	0	0
L2M16	39	2	12	2	1	27	34	5	27	1	0
L2M16	42	2	9	1	2	50	26	5	26	0	0
L2M16	45	2	19	2	2	0	12	5	0	1	0
L2M16	48	2	3	2	2	1	6	5	1	1	0
L2M16	51	2	4	2	1	50	68	5	50	1	0
L2M16	54	2	10	1	1	98	8	5	98	1	0
L2M16	57	2	11	2	2	4	14	5	4	1	0
L2M16	60	2	15	2	2	15	40	5	15	1	0
L2M16	63	2	2	1	1	26	8	5	26	1	0
L2M16	66	2	8	2	1	25	65	5	25	1	0
L2M16	69	2	1	1	2	73	45	5	45	0	0
L2M16	72	2	17	1	2	97	25	5	25	0	0
L2M16	75	2	6	1	1	86	14	5	86	1	0
L2M17	6	2	17	1	2	97	25	4	97	1	0
L2M17	9	2	15	2	2	15	40	5	15	1	0
L2M17	12	2	5	1	2	152	62	2	152	1	0
L2M17	15	2	2	1	1	26	8	5	8	0	0
L2M17	18	2	11	2	2	4	14	4	4	1	0
L2M17	21	2	22	1	1	56	8	5	8	0	0
L2M17	24	2	12	2	1	27	34	3	34	0	0
L2M17	27	2	19	2	2	0	12	5	0	1	0
L2M17	30	2	4	2	1	50	68	3	68	0	0
L2M17	33	2	24	2	1	19	49	3	49	0	0
L2M17	36	2	23	2	2	4	16	5	4	1	0
L2M17	39	2	3	2	2	1	6	5	1	1	0
L2M17	42	2	13	1	2	85	22	5	85	1	0
L2M17	45	2	18	1	1	92	8	5	8	0	0
L2M17	48	2	6	1	1	86	14	5	14	0	0
L2M17	51	2	20	2	1	74	200	2	200	0	0
L2M17	54	2	9	1	2	50	26	5	50	1	0
L2M17	57	2	8	2	1	25	65	5	65	0	0
L2M17	60	2	21	1	2	25	9	5	25	1	0
L2M17	63	2	14	1	1	49	13	4	13	0	0
L2M17	66	2	16	2	1	25	32	1	32	0	0
L2M17	69	2	10	1	1	98	8	5	8	0	0
L2M17	72	2	7	2	2	1	4	3	2	0	1
L2M17	75	2	1	1	2	73	45	5	73	1	0
L2M18	6	1	9	1	1	5	18	5	5	1	0
L2M18	9	1	22	2	2	12	2	5	2	0	0
L2M18	12	1	8	1	2	35	80	5	35	1	0
L2M18	15	1	17	1	1	13	63	5	13	1	0
L2M18	18	1	14	2	2	16	6	5	6	0	0
L2M18	21	1	19	2	1	70	10	5	10	0	0
L2M18	24	1	1	1	1	5	20	5	5	1	0
L2M18	27	1	16	1	2	65	77	5	51	0	1
L2M18	30	1	12	1	2	72	84	5	28	0	1
L2M18	33	1	13	1	1	10	54	1	10	1	0
L2M18	36	1	2	2	2	7	2	4	8	0	1
L2M18	39	1	5	1	1	16	78	4	16	1	0
L2M18	42	1	10	2	2	19	2	5	2	0	0
L2M18	45	1	23	2	1	62	14	5	32	0	1
L2M18	48	1	6	2	2	13	4	5	4	0	0
L2M18	51	1	24	1	2	17	45	5	17	1	0
L2M18	54	1	3	2	1	33	9	5	12	0	1
L2M18	57	1	11	2	1	40	12	5	21	0	1
L2M18	60	1	7	2	1	20	8	1	8	0	0
L2M18	63	1	18	2	2	18	2	1	2	0	0
L2M18	66	1	15	2	1	198	38	5	198	1	0
L2M18	69	1	4	1	2	70	90	4	70	1	0
L2M18	72	1	21	1	1	3	12	4	3	1	0
L2M18	75	1	20	1	2	94	224	5	224	0	0
L2M19	6	1	17	1	1	13	63	5	63	0	0
L2M19	9	1	15	2	1	198	38	5	38	0	0
L2M19	12	1	5	1	1	16	78	5	16	1	0
L2M19	15	1	2	2	2	7	2	4	7	1	0
L2M19	18	1	11	2	1	40	12	5	12	0	0
L2M19	21	1	22	2	2	12	2	3	12	1	0
L2M19	24	1	12	1	2	72	84	5	84	0	0
L2M19	27	1	19	2	1	70	10	5	10	0	0
L2M19	30	1	4	1	2	70	90	5	90	0	0
L2M19	33	1	24	1	2	17	45	5	45	0	0
L2M19	36	1	23	2	1	62	14	4	62	1	0
L2M19	39	1	3	2	1	33	9	3	33	1	0
L2M19	42	1	13	1	1	10	54	5	10	1	0
L2M19	45	1	18	2	2	18	2	3	18	1	0
L2M19	48	1	6	2	2	13	4	5	13	1	0
L2M19	51	1	20	1	2	94	224	5	124	0	1
L2M19	54	1	9	1	1	5	18	5	5	1	0
L2M19	57	1	8	1	2	35	80	4	35	1	0
L2M19	60	1	21	1	1	3	12	3	3	1	0
L2M19	63	1	14	2	2	16	6	5	16	1	0
L2M19	66	1	16	1	2	65	77	5	65	1	0
L2M19	69	1	10	2	2	19	2	4	19	1	0
L2M19	72	1	7	2	1	20	8	2	20	1	0
L2M19	75	1	1	1	1	5	20	5	5	1	0
L2M20	6	2	23	2	2	4	16	5	4	1	0
L2M20	9	2	16	2	1	25	32	1	32	0	0
L2M20	12	2	13	1	2	85	22	5	85	1	0
L2M20	15	2	7	2	2	1	4	4	1	1	0
L2M20	18	2	20	2	1	74	200	4	200	0	0
L2M20	21	2	24	2	1	19	49	4	49	0	0
