Subj	posit	list	item	prime	pres_C	pres_F	target	presp	tresp
M2L13	33	1	14	2	16	6	2	16	5
M2L13	36	1	5	1	16	78	1	16	5
M2L13	39	1	12	2	72	84	1	72	5
M2L13	42	1	9	1	5	18	1	5	5
M2L13	45	1	19	1	70	10	2	70	5
M2L13	48	1	3	1	33	9	2	33	2
M2L13	51	1	4	2	70	90	1	70	5
M2L13	54	1	10	2	19	2	2	19	5
M2L13	57	1	11	1	40	12	2	40	5
M2L13	60	1	15	1	198	38	2	198	5
M2L13	63	1	2	2	7	2	2	7	4
M2L13	66	1	8	2	35	80	1	35	4
M2L13	69	1	1	1	5	20	1	5	5
M2L13	72	1	17	1	13	63	1	13	5
M2L13	75	1	6	2	13	4	2	13	3
M2L14	6	2	23	2	4	16	2	4	2
M2L14	9	2	16	1	25	32	2	25	1
M2L14	12	2	13	2	85	22	1	85	5
M2L14	15	2	7	2	1	4	2	1	2
M2L14	18	2	20	1	74	200	2	74	5
M2L14	21	2	24	1	19	49	2	19	3
M2L14	24	2	18	1	92	8	1	92	3
M2L14	27	2	21	2	25	9	1	25	1
M2L14	30	2	22	1	56	8	1	56	4
M2L14	33	2	14	1	49	13	1	49	4
M2L14	36	2	5	2	152	62	1	152	2
M2L14	39	2	12	1	27	34	2	27	4
M2L14	42	2	9	2	50	26	1	50	2
M2L14	45	2	19	2	0	12	2	0	5
M2L14	48	2	3	2	1	6	2	1	4
M2L14	51	2	4	1	50	68	2	50	2
M2L14	54	2	10	1	98	8	1	98	4
M2L14	57	2	11	2	4	14	2	4	3
M2L14	60	2	15	2	15	40	2	15	5
M2L14	63	2	2	1	26	8	1	26	4
M2L14	66	2	8	1	25	65	2	25	5
M2L14	69	2	1	2	73	45	1	73	5
M2L14	72	2	17	2	97	25	1	97	3
M2L14	75	2	6	1	86	14	1	182	5
M2L15	6	3	23	1	62	14	1	62	5
M2L15	9	3	16	2	65	77	2	65	1
M2L15	12	3	13	1	10	54	2	10	1
M2L15	15	3	7	1	20	8	1	20	5
M2L15	18	3	20	2	94	224	2	94	3
M2L15	21	3	24	2	17	45	2	17	4
M2L15	24	3	18	2	18	2	1	18	5
M2L15	27	3	21	1	3	12	2	3	1
M2L15	30	3	22	2	12	2	1	12	5
M2L15	33	3	14	2	16	6	1	16	1
M2L15	36	3	5	1	16	78	2	16	4
M2L15	39	3	12	2	72	84	2	72	2
M2L15	42	3	9	1	5	18	2	5	1
M2L15	45	3	19	1	70	10	1	70	5
M2L15	48	3	3	1	33	9	1	33	5
M2L15	51	3	4	2	70	90	2	70	3
M2L15	54	3	10	2	19	2	1	19	5
M2L15	57	3	11	1	40	12	1	40	5
M2L15	60	3	15	1	198	38	1	198	5
M2L15	63	3	2	2	7	2	1	7	4
M2L15	66	3	8	2	35	80	2	35	5
M2L15	69	3	1	1	5	20	2	5	1
M2L15	72	3	17	1	13	63	2	13	5
M2L15	75	3	6	2	13	4	1	13	5
M2L16	6	4	23	2	4	16	1	4	5
M2L16	9	4	16	1	25	32	1	25	5
M2L16	12	4	13	2	85	22	2	85	3
M2L16	15	4	7	2	1	4	1	1	4
M2L16	18	4	20	1	74	200	1	74	4
M2L16	21	4	24	1	19	49	1	19	5
M2L16	24	4	18	1	92	8	2	92	3
M2L16	27	4	21	2	25	9	2	25	3
M2L16	30	4	22	1	56	8	2	56	2
M2L16	33	4	14	1	49	13	2	49	5
M2L16	36	4	5	2	152	62	2	152	5
M2L16	39	4	12	1	27	34	1	27	5
M2L16	42	4	9	2	50	26	2	50	3
M2L16	45	4	19	2	0	12	1	0	5
M2L16	48	4	3	2	1	6	1	1	4
M2L16	51	4	4	1	50	68	1	50	5
M2L16	54	4	10	1	98	8	2	98	4
M2L16	57	4	11	2	4	14	1	4	2
M2L16	60	4	15	2	15	40	1	15	4
M2L16	63	4	2	1	26	8	2	26	1
M2L16	66	4	8	1	25	65	1	25	5
M2L16	69	4	1	2	73	45	2	73	2
M2L16	72	4	17	2	97	25	2	97	5
M2L16	75	4	6	1	86	14	2	86	4
M2L17	6	4	9	2	50	26	2	50	3
M2L17	9	4	22	1	56	8	2	56	4
M2L17	12	4	8	1	25	65	1	25	5
M2L17	15	4	17	2	97	25	2	97	5
M2L17	18	4	14	1	49	13	2	49	5
M2L17	21	4	19	2	0	12	1	0	5
M2L17	24	4	1	2	73	45	2	73	2
M2L17	27	4	16	1	25	32	1	25	5
M2L17	30	4	12	1	27	34	1	27	5
M2L17	33	4	13	2	85	22	2	85	3
M2L17	36	4	2	1	26	8	2	26	3
M2L17	39	4	5	2	152	62	2	152	5
M2L17	42	4	10	1	98	8	2	98	5
M2L17	45	4	23	2	4	16	1	4	4
M2L17	48	4	6	1	86	14	2	86	5
M2L17	51	4	24	1	19	49	1	19	5
M2L17	54	4	3	2	1	6	1	1	5
M2L17	57	4	11	2	4	14	1	4	4
M2L17	60	4	7	2	1	4	1	1	5
M2L17	63	4	18	1	92	8	2	92	4
M2L17	66	4	15	2	15	40	1	15	5
M2L17	69	4	4	1	50	68	1	50	4
M2L17	72	4	21	2	25	9	2	25	4
M2L17	75	4	20	1	74	200	1	74	5
M2L18	6	3	9	1	5	18	2	5	3
M2L18	9	3	22	2	12	2	1	12	5
M2L18	12	3	8	2	35	80	2	35	5
M2L18	15	3	17	1	13	63	2	13	5
M2L18	18	3	14	2	16	6	1	16	5
M2L18	21	3	19	1	70	10	1	36	5
M2L18	24	3	1	1	5	20	2	5	2
M2L18	27	3	16	2	65	77	2	65	1
M2L18	30	3	12	2	72	84	2	72	5
M2L18	33	3	13	1	10	54	2	10	3
M2L18	36	3	2	2	7	2	1	7	5
M2L18	39	3	5	1	16	78	2	16	5
M2L18	42	3	10	2	19	2	1	19	5
M2L18	45	3	23	1	62	14	1	62	5
M2L18	48	3	6	2	13	4	1	13	5
M2L18	51	3	24	2	17	45	2	17	5
M2L18	54	3	3	1	33	9	1	33	5
M2L18	57	3	11	1	40	12	1	40	5
M2L18	60	3	7	1	20	8	1	20	5
M2L18	63	3	18	2	18	2	1	18	4
M2L18	66	3	15	1	198	38	1	198	5
M2L18	69	3	4	2	70	90	2	70	3
M2L18	72	3	21	1	3	12	2	3	3
M2L18	75	3	20	2	94	224	2	94	2
M2L19	6	1	9	1	5	18	1	5	5
M2L19	9	1	22	2	12	2	2	12	4
M2L19	12	1	8	2	35	80	1	35	5
M2L19	15	1	17	1	13	63	1	13	4
M2L19	18	1	14	2	16	6	2	16	5
M2L19	21	1	19	1	70	10	2	70	4
M2L19	24	1	1	1	5	20	1	5	5
M2L19	27	1	16	2	65	77	1	65	5
M2L19	30	1	12	2	72	84	1	72	5
M2L19	33	1	13	1	10	54	1	10	4
M2L19	36	1	2	2	7	2	2	7	3
M2L19	39	1	5	1	16	78	1	16	4
M2L19	42	1	10	2	19	2	2	19	5
M2L19	45	1	23	1	62	14	2	62	4
M2L19	48	1	6	2	13	4	2	13	5
M2L19	51	1	24	2	17	45	1	17	5
M2L19	54	1	3	1	33	9	2	33	3
M2L19	57	1	11	1	40	12	2	40	4
M2L19	60	1	7	1	20	8	2	20	2
M2L19	63	1	18	2	18	2	2	18	3
M2L19	66	1	15	1	198	38	2	198	5
M2L19	69	1	4	2	70	90	1	70	2
M2L19	72	1	21	1	3	12	1	3	5
M2L19	75	1	20	2	94	224	1	94	5
M2L20	6	2	9	2	50	26	1	26	5
M2L20	9	2	22	1	56	8	1	56	5
M2L20	12	2	8	1	25	65	2	25	5
M2L20	15	2	17	2	97	25	1	97	4
M2L20	18	2	14	1	49	13	1	48	2
M2L20	21	2	19	2	0	12	2	0	5
M2L20	24	2	1	2	73	45	1	73	5
M2L20	27	2	16	1	25	32	2	25	2
M2L20	30	2	12	1	27	34	2	27	1
M2L20	33	2	13	2	85	22	1	85	5
M2L20	36	2	2	1	26	8	1	26	5
M2L20	39	2	5	2	152	62	1	152	5
M2L20	42	2	10	1	98	8	1	98	5
M2L20	45	2	23	2	4	16	2	4	5
M2L20	48	2	6	1	86	14	1	86	5
M2L20	51	2	24	1	19	49	2	19	3
M2L20	54	2	3	2	1	6	2	1	3
M2L20	57	2	11	2	4	14	2	4	5
M2L20	60	2	7	2	1	4	2	1	4
M2L20	63	2	18	1	92	8	1	92	3
M2L20	66	2	15	2	15	40	2	15	5
M2L20	69	2	4	1	50	68	2	50	2
M2L20	72	2	21	2	25	9	1	9	5
M2L20	75	2	20	1	74	200	2	74	2
M2L21	6	4	17	2	97	25	2	97	5
M2L21	9	4	15	2	15	40	1	15	5
M2L21	12	4	5	2	152	62	2	152	5
M2L21	15	4	2	1	26	8	2	26	4
M2L21	18	4	11	2	4	14	1	4	5
M2L21	21	4	22	1	56	8	2	56	5
M2L21	24	4	12	1	27	34	1	27	5
M2L21	27	4	19	2	0	12	1	0	5
M2L21	30	4	4	1	50	68	1	50	5
M2L21	33	4	24	1	19	49	1	19	5
M2L21	36	4	23	2	4	16	1	4	5
M2L21	39	4	3	2	1	6	1	1	5
M2L21	42	4	13	2	85	22	2	85	2
M2L21	45	4	18	1	92	8	2	92	3
M2L21	48	4	6	1	86	14	2	82	5
M2L21	51	4	20	1	74	200	1	74	5
M2L21	54	4	9	2	50	26	2	50	2
M2L21	57	4	8	1	25	65	1	25	5
M2L21	60	4	21	2	25	9	2	25	4
M2L21	63	4	14	1	49	13	2	49	5
M2L21	66	4	16	1	25	32	1	25	5
M2L21	69	4	10	1	98	8	2	98	5
M2L21	72	4	7	2	1	4	1	1	5
M2L21	75	4	1	2	73	45	2	73	2
M2L22	6	1	17	1	13	63	1	13	4
M2L22	9	1	15	1	198	38	2	198	1
M2L22	12	1	5	1	16	78	1	16	3
M2L22	15	1	2	2	7	2	2	7	3
M2L22	18	1	11	1	40	12	2	40	4
M2L22	21	1	22	2	12	2	2	12	4
M2L22	24	1	12	2	72	84	1	72	5
M2L22	27	1	19	1	70	10	2	70	5
M2L22	30	1	4	2	70	90	1	70	5
M2L22	33	1	24	2	17	45	1	17	4
M2L22	36	1	23	1	62	14	2	62	5
M2L22	39	1	3	1	33	9	2	33	2
M2L22	42	1	13	1	10	54	1	10	5
M2L22	45	1	18	2	18	2	2	18	4
M2L22	48	1	6	2	13	4	2	13	5
M2L22	51	1	20	2	94	224	1	94	4
M2L22	54	1	9	1	5	18	1	5	5
M2L22	57	1	8	2	35	80	1	35	5
M2L22	60	1	21	1	3	12	1	3	4
M2L22	63	1	14	2	16	6	2	16	5
M2L22	66	1	16	2	65	77	1	65	5
M2L22	69	1	10	2	19	2	2	19	5
M2L22	72	1	7	1	20	8	2	20	2
M2L22	75	1	1	1	5	20	1	5	5
M2L23	6	2	17	2	97	25	1	97	5
M2L23	9	2	15	2	15	40	2	15	5
M2L23	12	2	5	2	152	62	1	152	4
M2L23	15	2	2	1	26	8	1	26	4
M2L23	18	2	11	2	4	14	2	4	4
M2L23	21	2	22	1	56	8	1	56	4
M2L23	24	2	12	1	27	34	2	27	4
M2L23	27	2	19	2	0	12	2	0	5
M2L23	30	2	4	1	50	68	2	50	4
M2L23	33	2	24	1	19	49	2	19	4
M2L23	36	2	23	2	4	16	2	4	4
M2L23	39	2	3	2	1	6	2	1	4
M2L23	42	2	13	2	85	22	1	85	5
M2L23	45	2	18	1	92	8	1	92	5
M2L23	48	2	6	1	86	14	1	86	5
M2L23	51	2	20	1	74	200	2	74	4
M2L23	54	2	9	2	50	26	1	50	5
M2L23	57	2	8	1	25	65	2	25	5
M2L23	60	2	21	2	25	9	1	25	5
M2L23	63	2	14	1	49	13	1	49	5
M2L23	66	2	16	1	25	32	2	25	3
M2L23	69	2	10	1	98	8	1	98	5
M2L23	72	2	7	2	1	4	2	1	4
M2L23	75	2	1	2	73	45	1	73	4
M2L24	6	1	23	1	62	14	2	62	5
M2L24	9	1	16	2	65	77	1	65	5
M2L24	12	1	13	1	10	54	1	10	4
M2L24	15	1	7	1	20	8	2	20	2
M2L24	18	1	20	2	94	224	1	94	4
M2L24	21	1	24	2	17	45	1	17	4
M2L24	24	1	18	2	18	2	2	18	3
M2L24	27	1	21	1	3	12	1	3	5
M2L24	30	1	22	2	12	2	2	12	3
M2L24	33	1	14	2	16	6	2	16	4
M2L24	36	1	5	1	16	78	1	16	4
M2L24	39	1	12	2	72	84	1	72	3
M2L24	42	1	9	1	5	18	1	70	5
M2L24	45	1	19	1	70	10	2	70	5
M2L24	48	1	3	1	33	9	2	33	4
M2L24	51	1	4	2	70	90	1	70	2
M2L24	54	1	10	2	19	2	2	19	4
M2L24	57	1	11	1	40	12	2	40	3
M2L24	60	1	15	1	198	38	2	198	5
M2L24	63	1	2	2	7	2	2	7	3
M2L24	66	1	8	2	35	80	1	35	5
M2L24	69	1	1	1	5	20	1	5	4
M2L24	72	1	17	1	13	63	1	13	3
M2L24	75	1	6	2	13	4	2	13	5
M2L25	6	4	23	2	4	16	1	4	2
M2L25	9	4	16	1	25	32	1	25	4
M2L25	12	4	13	2	85	22	2	85	1
