Subject_ID	item	trial_numb	cond	prime_resp	Vcond	Ptype	target_resp	Ttype	T_onset	P_onset	P_offset	trialT		
179	18	63	03	ZZ	2	3	PO	1	9720	4670	12140	26530		
179	19	127	04	DO	2	2	PO	1	3680	2970	9720	16370		
179	20	103	01	PO	1	1	PO	1	1870	5330	7910	15110		
179	21	111	02	DO	1	2	PO	1	5440	7360	9390	22190		
179	22	7	03	PO	2	1	ZZ	3	2410	3630	6050	12090		
179	23	39	04	DO	2	2	PO	1	3410	3950	12960	20320		
179	24	3	01	PO	1	1	PO	1	3240	3900	8790	15930		
179	25	99	02	DO	1	2	DO	2	2420	4120	5600	12140		
179	26	47	03	PO	2	1	PO	1	2310	4620	6920	13850		
179	27	95	04	DO	2	2	PO	1	3240	4170	6810	14220		
179	28	11	01	DO	1	2	PO	1	22580	3570	4940	31090		
179	29	31	02	DO	1	2	DO	2	3240	4290	14450	21980		
179	30	91	03	PO	2	1	PO	1	2200	4670	8790	15660		
179	31	43	04	DO	2	2	DO	2	6920	2630	6480	16030		
179	32	123	01	PO	1	1	ZZ	3	2030	3740	8460	14230		
189	1	127	04	DO	2	2	DO	2	2080	5990	11760	19830		
189	2	115	01	PO	1	1	PO	1	3680	3020	8240	14940		
189	3	39	02	DO	1	2	DO	2	1650	2690	5270	9610		
